cantonese,english,greedy,beam
虽然有逆境，建筑师仲系赢取咗享誉全球嘅荣誉。,"Despite adversity, the architect achieved worldwide fame.",Бұл қағидалар мен қаһарманның қаңтарда қауымдастырылған.,Қазіргі уақытта «Атлант» АҚ-ның артықшылықтармен бір-бірімен таныстырылған.
虽然有逆境，建筑师仲系赢取咗享誉全球嘅名誉。,"Despite adversity, the architect achieved worldwide fame.",Бұл қағидалар мен қаһарманның қаңтарда қауымдастырылған.,Қазіргі уақытта «Атлант» АҚ-ның артықшылықтармен бір-бірімен таныстырылған.
你應該要準備間房畀訪客。,You should prepare a room for the visitor.,Vous devez vous préparer à la visite de la chambre.,Vous devez vous préparer pour les visiteurs particuliers.
食煙有害健康。,Smoking is harmful to health.,Курение вредно для здоровья.,Tupakointi on terveydelle haitallista.
食煙對健康唔好。,Smoking is harmful to health.,Fumer est bon pour la santé.,Rökning är inte bra för hälsan.
你係醫生。,You are a doctor.,bác sĩ của bạn.,Votre médecin !
啲規則一定唔可以多，同埋更加重要嘅係一定要簡單。,"The rules must be few, and more importantly, simple.","Бұл үшін, бұл ең жақсы және ең айқын, ол көптеген жылдар мен қазір.","Қандай-ақ, қанақтардан бір-бірімен қалыңдар да, бұл ең айқын көргенде."
我唔慣呢度啲天氣，太唔同喇。,I can't get over how different the weather is here.,"Менің жарып, қазір мен жаруп.","Je ne m'habitue pas à la météo, pas trop avec la la."
睇住呀！嗰到有個大窿㗎。,Watch out! There's a big hole there.,"Бұл қазір, бұл қағидалар бар.",Қазіргі таңда бүкіл әлемде өте көп айтылады.
算吧啦。,Forget it.,Қайтаққа,数えよ。
我返屋企嗰陣撞到佢。,I met him on my way home.,"Өйткені, бізге қайтарып келдім.",Je suis rentré chez les entreprises qui l'ont frappé.
我咁夜先返真係對唔住呀。,I'm very sorry I came home so late.,"Өйткені, менің қазір мен қаңтар мен көтеріне қайтып келдім.",Gecə qayıtmaq istəmirəm.
你返屋企嗰陣順便嚟探吓我吖。,Please drop in at my house on your way home.,Өзiңiмiнiкiздiпiшiгiлiтiсiрiддттстeмдссeндeтдaтaмт,"Содан соң, «Жеңізде» АҚШ-тың ата-аналар мен әңгімелермен танымал."
張枱下面有粒蘋果。,There is an apple under the desk.,Бұл жерде одан да салыстыр.,Қазіргі таңда бүкіл әлемге айналды.
我開心到彈咗起身。,I jumped for joy.,"Менің қазір, қаңтар мен қазыққа қазанды.",J’ai eu l’impression de se lever à la balle.
韓國菜一般都好辣。,Korean food is generally very spicy.,Бұл ең жақсы және ең жарыстыр.,韓国料理は一般的に美味しい。
韓國菜出名辣。,Korean food is noted for its spicy flavor.,Бұл аяқталған жарыққа ұлы.,韓国料理が有名です。
佢哋好快就拉埋天窗喇。,It won't be long before they get married.,"Бұл да салыстырды, ол да бір бөлмеген.",Қазіргі уақытта ол табылды.
個罐係吉嘅。,The can is empty.,Бұл қағидалар мен қаһарман.,Қазіргі уақытта қазір.
如果啲乾草著咗火就大劑喇。,"If the hay caught fire, it would be a real disaster.","Қазір, бұл жерде ойнады, онда бұл жарыққа да бар.",Қаланың тұрақты тұрғындарының саны 1 адамды құрайды.
唔好踩落啲碎玻璃度。,Don't step on the broken glass.,Бұл қазір қағидалар мен қасымды.,Не күлеріңді білмейді.
玩得開心啲喇！,Enjoy yourself!,Өзiңiмiнiкiздiпiшiлiгiтiiддтт!,Өзiмiкiнiлiң өтуіпiшiгiздi!
你玩得開唔開心呀？,Did you enjoy yourself?,- Anh vui chơi không vui?,Vous ne jouez pas ouvert ?
佢讀書叻過晒佢啲朋友。,"In terms of learning, he is superior to all of his friends.",Bu kitabın özü çox sevgi ilə tanışıb.,"Bu yazıyı çox sevindirdi, daha çox dost oldu."
我讀書嗰陣成日參加英文演講比賽。,I would often take part in an English speech contest in my school days.,Менің қазір мен қаңтарда қазыққа қазанға айтылады.,«Жеңір» АҚШ-ның «Английский язык» конкурсімен танымал.
你讀邊間學校㗎？,Where do you go to school?,Школаның өзара қарастырылған?,Bạn có đọc qua trường không?
幾時放學呀？,When is school over?,Học bao giờ?,どのくらいの授業?
學校會提供帳篷俾我哋。,The school will provide tents for us.,Школының тұрады мен салыстырды.,Trường sẽ cung cấp phòng trọ tôi.
我好肯定係邊度見過佢，但係又唔認得佢。,"I am sure I met him somewhere, but I do not remember who he is.","Менің қазір менің басымды, мен қасымда қаңтарды.","Je suis sûre que je l'ai vu, mais je ne la reconnais pas."
唔同國家有唔同習俗。,Each country has its own customs.,Il n’y a pas de coutumes avec le pays.,Il n’y a pas de coutumes avec le pays.
我哋去市區食飯，跟住再睇返場戲吖。,Let's have lunch downtown and take in a show.,"Менің қазір менің тіпті, мен қаңтар мен мен өңдеуге қарап отыр.","Содан соң, облыс әкімі мердігер ұйымдардың басшыларымен кеңес өткізді."
我冇乜心情出街。,I don't feel like going out.,J’ai bien aimé sortir de la rue.,J’ai bien aimé sortir de la rue.
梳好你啲頭髮先好出門口呀。,Comb your hair before you go out.,"Өзiң жасайды, бірақ танымал жастарды.",Skölj håret först ut från dörren.
出去之前記住熄晒啲燈佢喎。,Make sure to turn off all the lights before going out.,"Bu barədə xəbər verir ki, bu barədə “Gözəl-Ələm” xəbərdarlıqla görüşüb.",Əvvəlki xəbərlər » Gələcək Günlər
你出國睇吓，先會知道日本係幾咁細。,It is not until you go abroad that you realize how small Japan is.,"Бұл қазір, оны онымен таныстыр, ол оныншы да бірден танылады.",Қазіргі уақытта «Атлант» АҚШ-қатынас табылды.
喺外國生活係學外語嘅最佳方法。,Living abroad is the best way to learn a foreign language.,Бұл үшін іс-әрекеттің дамуында іс жүзінде ең жақсы.,Қандай-ақ іс-әрекеттің дамуы.
唔好以貌取人。,Don't judge a person by his appearance.,Не күлеріңді ұлыстыр.,Не күлеріңді адам.
幅畫遠啲睇好啲。,The picture looks better at a distance.,Өзiңiздiкiмдтiгiнiпiшiлiттeггaтaзз,Қазіргі уақытта көшiлiкiгiзiмдi.
大家唔該望吓黑板。,"Look at the blackboard, everyone.",Бұл қазір не жарықша.,Tout le monde n’a pas à craindre le noir.
我打爛咗你個煙灰缸。,I broke your ashtray.,Менің қазір мен қаңтар мен жарыққа жатады.,مون توڏانھن موڪلايو.
我哋返緊屋企。,We're on our way home.,Jag kommer säkert tillbaka till husarrangemanget.,Je reviendrai certainement à la maison.
間公司蝕緊錢。,The company is in deficit.,Қазір компаниясы кейде.,Қазіргі уақытта корпорациясы бар.
去出口個收銀處俾錢啦。,Pay the cashier on the way out.,Өзiңiз кешiнiкiгiпiш кiлiмiрi.,"Қандай келді, кейде кетеді."
會議會喺東京舉行。,The conference is to be held in Tokyo.,東京で開催される会議。,会議は東京で開催される。
個會可唔可以喺兩個鐘頭之內開完呢？,Can the meeting be finished within two hours?,Қазіргі таңда 2 жылдан кейін қазір не айтасыз?,Peut-on s’ouvrir en deux heures ?
我哋俾成班蜜蜂攻擊。,We were attacked by swarms of bees.,Je suis sur le point d'attaquer les abeilles.,ミツバチの攻撃を報告しました。
我哋要詳細噉分析吓件事發生嘅前因後果。,We have to make a close analysis of the accident.,"Бұл үшін, бұл жерде жарыққа дағдырыстырылған да дауыстарды.",Tôi chắc chắn sẽ thông báo chi tiết phân tích sự đe dọa xảy ra trước khi do hậu quả.
我哋輪流揸車。,We took turns driving the car.,Менің қолылысы бар.,J’ai apprécié la circulation de la voiture.
我哋敲咗五分鐘門都冇人應。,"We knocked at the door for five minutes, but in vain.",Менің қазір 5 минут қауымда.,Қазіргі уақытта 5 мың теңгеге қарап отыр.
我哋一粒飯都冇落過肚，一路做咗幾個鐘頭。,We kept on working for hours without eating anything.,Менің қазір мен қаңтар мен жастарды бір жылдан кейін бір-бірімен келдім.,Қазіргі уақытта бір жылдар мен ұзақ уақытқа келдім.
我哋打啤牌消磨時間。,We killed time by playing cards.,Jag har säkert slösat bort tiden med öl.,ビールを飲みながら時間を無駄にします。
我哋傾咗嗰個問題。,We discussed the problem.,Je me sens particulièrement mal à l’affaire.,J’ai certainement des problèmes particuliers.
我哋嘅結論就係，個傳言係真嘅。,We've come to the conclusion that this is a true story.,"Менің қазір, бұл қағидалар мен қаһарманның қауымдастырылған.",Өзiмiкiздiгiшiлiнiпiрiсiвiтiң кiбi.
我哋買咗一磅茶。,We bought a pound of tea.,Je suis sûre d'acheter un pound de thé.,Ik heb zeker een kilo thee gekocht.
我哋啲會好少準時開始。,Our meeting rarely starts on time.,Jag kommer säkert att börja lite halvtimmar.,Je vais certainement commencer à peu près.
